ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests
ANVS,TTM,,,,40878.04,-40878.04,-1063.13,,-43017.37,,-43017.37,-43017.37,-4.54,-4.54,10218.72,10268.65,-40878.04,40878.04,-43017.37,-41941.17,282.93,,-1063.13,-40878.04,-40878.04,,,-43017.37,-39801.84,,-1076.20,-1076.20,,,,,,,,,,
ANY,TTM,25026,17664,7362,32020,-24658,375,6860,-17423,11,-17427,-17427,-1.28,-1.28,15614.5220,15614.5220,-29140,49684,-17427,-23258,385,10,375,-17413,-9986,17664,7427,-17427,-16846,0.0002,6860,6860,1029,,,,,,,,,
AON,TTM,14926000,7834000,7092000,3175000,3917000,-631000,-106000,3180000,687000,2436000,2436000,11.74,11.68,207325,208450,3523000,11009000,2436000,2523803.77,75000,706000,-631000,3886000,4407000,7834000,521000,2436000,4519000,0,-112000,-112000,-24196.23,318000,,,,,,,,
AORT,TTM,384899,136525,248374,208997,39377,-29288,-1592,8497,9348,-842,-842,-0.03,-0.03,41430,42190.50,39377,345522,-851,2047.51,1491,30779,-29288,39276,63002,136525,23726,-851,66671,0,-3669,-3669,-770.49,,,,,,,,,
AOS,TTM,3893800,2406000,1487800,742300,745500,-5400,-7300,732800,171600,561200,561200,3.82,3.79,146889.14,148001.80,,3148300,561200,563650.66,,5400,-5400,738200,818500,2406000,80300,561200,821700,0,-3200,-3200,-749.34,,,,,,,,,
AOSL,TTM,658528,493009,165519,178908,-13389,1410,-749,-12728,3551,-19363,-19363,-0.69,-0.69,28563.75,28563.75,-13389,671917,-19363,-19363,,,1410,-13389,41979,493009,55368,-19363,41979,0,,,,,,,,,,,-3084,
AOUT,TTM,199297,111664,87633,98619,-10986,199,184,-10603,-103,-10500,-10500,-0.81,-0.81,12885.75,12885.75,-10986,210283,-10500,-10500,4963,,199,-10986,4455,111664,15441,-10500,4455,0,,,,,,,,,,,,
AP,TTM,431529,356112,75417,64421,10996,-10805,-40251,-40060,-306,-41732,-41732,-2.14,-2.14,19762,19762,-34730,420533,-41732,-1879.7562,,10805,-10805,-29255,-10941,356112,18314,-41732,29218,0,-40159,-40159,-306.7562,,,,,,,,,
APA,TTM,9192000,4878000,4314000,1035000,3279000,-353000,-1351000,1575000,-982000,2223000,2223000,7.06,7.04,337250,338250,,5913000,2223000,3264220,11000,359000,-353000,1934000,3970000,4878000,2036000,2223000,5288000,0,-1318000,-1318000,-276780,,,,,,,,,
APAM,TTM,1063748,582506,481242,147346,333896,642,105931,440469,85532,232652,232652,3.60,3.60,64487.24,68624.13,333896,729852,254801,169033.97,9147,8505,642,448974,458927,582506,9953,254801,352492,0,106435,106435,20667.97,30435,,,,,,,,
APCX,TTM,462,97,365,12540,-12175,-44,-18,-12237,,-12237,-12237,-0.55,-0.55,21829.5070,21829.5070,-12175,12637,-12237,-12220,,44,-44,-12193,-11101,97,1092,-12237,-11084,,-17,-17,,,,,,,,,,
APD,TTM,12104400,8271500,3832900,995600,2837300,-217100,538900,3159100,560700,2570900,2570900,11.56,11.54,222450,222775,2780300,9267100,2570900,2610383.23,,217100,-217100,3376200,4803800,8271500,1427600,2563500,4860800,0,-57000,-57000,-10116.77,,,,,,,,,
APDN,TTM,3398.0490,2547.0730,850.9760,15775.3070,-14924.3310,126.1960,7407.9210,-7390.2140,,-7521.1290,-7521.1290,-7.50,-7.50,1542.8620,1542.8620,-14924.3310,18322.3800,-7288.0420,-14710.7770,126.1960,115.8300,126.1960,-14924.3310,-13975.2100,2547.0730,949.1210,-7288.0420,-21397.9450,,7422.7350,7422.7350,,,,,,,,,,
APEI,TTM,610969,292616,318353,285461,32892,-2494,-3158,27240,7033,4443,4443,0.19,0.19,17667.50,17920.50,,578077,10573,12915.65,,2494,-2494,29734,52201,292616,22467,10573,55359,0,-3158,-3158,-815.35,,,,,,,,-9634,
APG,TTM,6916000,4805000,2111000,1656000,455000,-143000,-15000,297000,89000,-432000,-442000,-1.74,-1.74,257734.62,257734.62,443000,6461000,208000,218505.05,,143000,-143000,440000,738000,4805000,298000,208000,753000,0,-15000,-15000,-4494.95,,,,,,,,,
APGE,TTM,,,,143763,-143763,25278,,-118485,,-118485,-118485,-2.09,-2.09,56676.47,56676.47,-143763,143763,-118485,-118485,25278,,25278,-134745,-134745,,,-118485,-134745,,,,,,,,,,,,,
APH,TTM,14232400,9473000,4759400,1734600,3024800,-185100,-72700,2767000,558300,2192200,2192200,1.82,1.75,1200950,1257700,2893200,11207600,2192200,2297246.95,,185100,-185100,2952100,3495800,9473000,543700,2192200,3627400,0,-131600,-131600,-26553.05,,,,,,,,,
APLD,TTM,189956,184179,5777,96632,-90855,-32007,-19106,-141968,96,-142108,-142108,-1.23,-1.23,126183.33,126183.33,-82172,280811,-142064,-148801.91,,32007,-32007,-109961,-4145,184179,105816,-142064,-12674,0,8529,8529,1791.09,,,,,,,,,
APLM,TTM,,,,54370,-54370,603,-118824,-172591,10,-172601,-172601,-2.32,-2.32,74411,74411,,54370,-172601,-174190.4800,753,150,603,-172441,-171772,,669,-172601,-173784,0.0002,2012,2012,422.5200,,,,,,,,,
APLS,TTM,715216,96779,618437,841770,-223333,-22334,-2135,-247802,2299,-250101,-250101,-2.03,-2.03,123081.25,123081.25,-223333,938549,-250101,-248561.29,13925,36259,-22334,-211543,-209710,96779,1833,-250101,-207761,0,-1949,-1949,-409.29,,,,,,,,,
APLT,TTM,-333,,,77701,-78034,1959,-85014,-161089,,-161089,-161089,-1.43,-1.43,117677.21,117677.21,-78034,77701,-161089,-76191,1959,,1959,-78034,-77668,,366,-161089,7230,,-84898,-84898,,,,,,,,,,
APM,TTM,431.3780,420.8120,10.5660,10734.8170,-10724.2510,-121.1450,6504.4210,-4340.9750,,-2824.6470,-2824.6470,-0.62,-0.62,4521.1330,4521.1330,,11155.6290,-2824.6470,-9169.2690,,,-121.1450,-10724.2510,-9598.9970,420.8120,1125.2540,-2824.6470,-15943.6190,,6344.6220,6344.6220,,213.7010,,,,,,,,
APO,TTM,31877000,1112000,30765000,22284000,8481000,-144000,-665000,7672000,-620000,4546000,4592000,9.51,9.47,586133.30,595020.86,,23396000,5847000,6447400,183000,327000,-144000,7999000,8995000,1112000,996000,5847000,9755000,0,-760000,-760000,-159600,,46000,,,,,,,
APOG,TTM,1375510,1000563,374947,232088,142859,-3993,-2090,136776,32489,104287,104287,4.77,4.74,21861,22031,142859,1232651,104287,104287,,3993,-3993,140769,181360,1000563,40591,104287,181360,0,,,,,,,,,,,,
APP,TTM,4289730,1119961,3169769,1634776,1534993,-303244,,1239777,86972,1149827,1149923,3.41,3.29,336320.27,347599.07,1534993,2754737,1152805,1152805,,295645,-303244,1535422,1975376,1119961,439954,1152805,1975376,0,,,,,96,,,,,,,
APPF,TTM,762368,267153,495215,354290,140925,12886,,154097,22495,131594,131594,3.66,3.61,36112,37305.75,140925,621443,131602,131602,12886,,12886,140925,162169,267051,21244,131602,162169,0,,,,,,,,,,,,
APPN,TTM,595656,148809,446847,529561,-82714,-22993,18848,-86859,1762,-88621,-88621,-1.21,-1.21,72826.47,72826.47,-82714,678370,-88621,-88621,,22993,-22993,-63866,-53936,148809,9930,-88621,-53936,0,,,,,,,,,,,,
APPS,TTM,491574,268457,223117,280394,-57277,-33086,-189627,-279990,20719,-300709,-300709,-2.96,-2.96,102200,102200,-246736,548851,-300709,-151293.9300,,,-33086,-57277,24826,268457,82103,-300709,213959,0.0002,-189133,-189133,-39717.9300,,,,,,,,,
APRE,TTM,,,,14194.3730,-14194.3730,1297.2790,-30.8180,-12927.9120,,-12927.9120,-12927.9120,-3.01,-3.01,4402.8470,4402.8470,-14194.3730,14194.3730,-12927.9120,-12897.0940,1297.2790,,1297.2790,-14194.3730,-14176.4940,,17.8790,-12927.9120,-14145.6760,,-30.8180,-30.8180,,,,,,,,,,
APT,TTM,61090,37090,24000,19568,4432,954,603,5989,1278,4711,4711,0.41,0.41,11460.94,11492.50,4432,56658,4711,4711,954,,954,4432,5384,37090,952,4711,5384,0,,,,,,,,,,,,
APTO,TTM,,,,40913,-40913,617,2,-40294,,-40294,-40294,-4.24,-4.24,11117.5000,11117.5000,,40913,-40294,-40296,617,,617,-40913,-40481,,432,-40294,-40483,,2,2,,,,,,,,,,
APTV,TTM,19725000,16054000,3671000,1698000,1973000,-199000,341000,2115000,-521000,2424000,2395000,8.99,8.98,267912.50,268127.50,1718000,17752000,2424000,2131700,102000,301000,-199000,2416000,3381000,15304000,965000,2424000,3011000,0,370000,370000,77700,,,,,,,,-182000,
APVO,TTM,,,,25951,-25951,,705,-25246,,-24953,-24953,-31.05,-31.05,1251.9130,1251.9130,-25951,25951,-24953,-25246,,,,-25951,-25515,,436,-25246,-25515,,,,,,,,,,,,,
APWC,TTM,425772,395545,30227,24327,5900,-2322,-3114,464,162,3867,3867,0.19,0.19,20616.2270,20616.2270,1548,419872,3867,6228.9784,205,2399,-2322,2863,9074,395545,6211,3867,12703,0.0003,-3629,-3629,-1267.0216,,,,,,,,,
APXI,TTM,,,,1871.68,-1871.68,3365.95,949.73,2444,,2444,2444,0.17,0.17,14020.08,14020.08,-1871.68,1871.68,2444,3531.91,3390.40,24.44,3365.95,2468.44,2468.44,,,2444,4022.60,0,-1554.16,-1554.16,-466.25,,,,,,,,,
APYX,TTM,49031,18682,30349,52924,-22575,-2899,-3129,-28603,-128,-28368,-28368,-0.82,-0.82,34644,34644,-22575,71606,-28368,-25293.8190,1625,4524,-2899,-24079,-23428,18682,651,-28368,-20340,0,-3088,-3088,-13.8190,,,,,,,,,
AQB,TTM,1258.5120,10377.9140,-9119.4020,13293.9610,-22413.3630,-2337.6460,-48750.7850,-73501.7940,,-73501.7940,-73501.7940,-19.06,-19.06,3855.7090,3855.7090,-71146.5850,23671.8750,-73501.7940,-24768.5720,,2337.6460,-2337.6460,-71164.1480,-69744.8850,10377.9140,1419.2630,-73501.7940,-21011.6630,,-48733.2220,-48733.2220,,,,,,,,,,
AQMS,TTM,25,8318,-8293,13926,-22219,598,,-26472,3,-26475,-26475,-0.24,-0.24,111022.2200,111022.2200,-27070,22244,-26475,-22642.7100,978,380,598,-26092,-24701,8318,1391,-26475,-19850,0.0002,-4851,-4851,-1018.7100,,,,,,,,,
AQN,TTM,2614452,620326,1994126,1521768,472358,-388309,183936,267985,-3002,-1017641,-1017641,-1.40,-1.40,712124.1950,715782.3140,444977,2142094,-1007764,232915.5000,40503,427104,-388309,695089,1195149,621206,499180,388355,1012279,0.0002,182870,182870,27430.5000,,,,,,,,,
AQST,TTM,58900,18031,40869,61972,-21103,-12960,,-35092,101,-35193,-35193,-0.45,-0.45,80734.4850,80734.4850,-21103,80003,-35193,-34380.0900,2868,15828,-12960,-19264,-18225,18031,1039,-35193,-17196,0.0002,-1029,-1029,-216.0900,,,,,,,,,
AQU,TTM,,,,452.39,-452.39,1594.52,-54.75,1087.38,398.18,689.20,689.20,-1.03,-1.03,5772.85,5772.85,-452.39,452.39,689.20,723.89,1594.52,,1594.52,-452.39,-452.39,,,689.20,-397.65,0,-54.75,-54.75,-20.05,,,,,,,,,
AR,TTM,4076540,3674789,401751,267394,134357,-123754,110767,121370,27892,45002,45002,0.15,0.14,307646.25,310077.50,152112,3942183,45002,31733.93,,123754,-123754,245124,936457,3674789,691333,45002,919230,0,17227,17227,3958.93,,,,,,,,,
ARAY,TTM,446551,303630,142921,142417,504,-11624,-700,-11820,3725,-15545,-15545,-0.22,-0.22,97363.5000,97363.5000,504,446047,-15545,-13928.6600,,11624,-11624,-196,5709,303630,5905,-15545,7755,0.0002,-2046,-2046,-429.6600,,,,,,,,,
ARBB,TTM,150233.6460,132729.1060,17504.5400,62392.5650,-44888.0250,-8.5730,1570.0110,-43326.5870,-16065.4740,-27261.1130,-27261.1130,-2.08,-2.08,26437.5000,26437.5000,,195121.6710,-27261.1130,-27261.1130,,8.5730,-8.5730,-43318.0140,38209.5470,132729.1060,81527.5610,-27261.1130,38209.5470,0.0004,,,,,,,,,,,,
ARBE,TTM,1372,1751,-379,47655,-48034,2501,,-45533,,-46289,-46289,-0.57,-0.71,78597.4080,78597.4080,-48034,49406,-45533,-45533,,,2501,-48034,-47464,1751,570,-45533,-47464,,,,,,,,,,,,,
ARC,TTM,289230,193125,96105,82289,13816,-1301,-3881,8634,4097,4659,4659,0.11,0.11,42333.7500,43160,9816,275414,4659,7819,,1301,-1301,9935,26089,177010,16154,4659,30089,0.0002,-4000,-4000,-840,,,,,,,,,
ARCB,TTM,4266909,3884868,382041,198555,183486,4897,60677,249060,55944,193716,193716,8.20,8.07,23630.38,24009.16,270526,4083423,193716,125626.97,13810,8913,4897,257973,405080,3884868,147107,193116,318040,0,87040,87040,19550.97,1508157,,,,,,,,
ARCC,TTM,1759000,,,,,,,1647000,69000,1578000,1582000,2.62,2.60,603500,609500,,,1578000,1578000,,,,,,,,1578000,,0,,,,,4000,,,,,,,
ARCH,TTM,2680857,2378500,302357,97569,204788,5888,-11437,199239,19788,179451,179451,9.80,9.58,18226.25,18568,194161,2476069,179451,193162.08,22087,16199,5888,215438,371732,2378500,156294,179451,386955,0,-15223,-15223,-1511.92,,,,,,,,,
ARCO,TTM,4492822,3890793,602029,287397,314632,-40867,-28996,244769,72958,170640,170640,0.81,0.81,210656.72,210656.72,314632,4178190,170640,189662.34,,40867,-40867,285636,454677,3890793,169041,170640,481777,0,-27100,-27100,-8077.66,1313230,,,,,,,,
ARCT,TTM,142467,,,223014,-80547,20371,-696,-62381,262,-62643,-62643,-2.33,-2.33,26936.25,26936.25,-80547,223014,-62643,-62093.16,21138,,20371,-29465,-25925,,3540,-62643,-25229,0,-696,-696,-146.16,,,,,,,,,
ARDT,TTM,5633727,,,5379584,254143,-66033,-2452,185658,29389,82890,82890,0.59,0.59,140963.33,140963.33,,5379584,82890,86086.79,,66033,-66033,251691,394824,,143133,82890,398622,0,-3798,-3798,-601.21,246104,,,,,,,,
ARDX,TTM,251849,37369,214480,278541,-64061,-17046,9088,-72019,564,-72583,-72583,-0.27,-0.27,230736.0260,230736.0260,-64061,315910,-72583,-72583,,17046,-17046,-54973,-53063,37369,1910,-72583,-53063,0.0002,,,,,,,,,,,,
AREB,TTM,15454.8700,13845.1240,1609.7460,14003.7880,-12394.0420,-1725.3550,-4118.4100,-18237.8070,,-18237.8070,-18237.8070,-3.95,-3.95,5513.0600,5513.0600,-12394.0420,27848.9120,-18237.8070,-14113.7320,4.4910,1729.8460,-1725.3550,-16507.9610,-16403.1010,13845.1240,104.8600,-18237.8070,-12279.0260,,-4124.0750,-4124.0750,,601.0790,,,,,,,,
AREC,TTM,5973.0440,8404.0460,-2431.0020,19184.8580,-21615.8600,-760.4180,8059.6670,-14316.6110,,-14075.5330,-14075.5330,-0.19,-0.19,75841.3650,77400.2890,-13790.3920,27588.9040,-14075.5330,-22400.6400,401.7090,1162.1270,-760.4180,-13154.4840,-11388.8440,7800.7890,1765.6400,-14075.5330,-19713.9510,,8325.1070,8325.1070,,,,,,,,,,
AREN,TTM,237837,139768,98069,126815,-28746,-17370,-2868,-48984,205,-128266,-128266,-4.57,-4.57,26124.0900,26124.0900,-30269,266583,-128266,-46923.2800,,17370,-17370,-31614,-10744,137561,20870,-49189,-7876,0.0002,-2868,-2868,-602.2800,,,,,,,,,
ARES,TTM,5075470,1659550,3415920,1068898,2347022,-974857,-13586,1358579,174313,325048,453652,2.21,2.19,194850.18,206100.08,,2728448,460375,460375,,974857,-974857,2333436,2333436,1659550,,460375,2333436,0,,,,,,,,,,,,
ARHS,TTM,1268104,764398,503706,404307,99399,4202,736,104337,25865,78472,78472,0.57,0.56,139939.60,140629.73,99399,1168705,78472,78472,,,4202,99399,171302,764398,71903,78472,171302,0,,,,,,,,,,,,
ARIS,TTM,420960,249985,170975,64563,106412,-35899,-1451,69062,9658,25331,25331,0.81,0.81,30415.88,30498,105069,314548,26475,27630.19,,32846,-35899,101908,180393,249985,78485,26475,181736,0,-1343,-1343,-187.81,,,,,,,,,
ARKO,TTM,8973013,8570586,402427,297469,104958,-70350,,34608,10456,18467,18467,0.16,0.16,116349.75,117160,104958,8868055,24221,24221,27838,98188,-70350,132796,263869,8570586,131073,24221,263869,0,,,,,,,,,,,117,
ARKR,TTM,184539,116928,67611,64589,3022,-609,-12163,-9750,-572,-9803,-9803,-2.72,-2.72,3604,3604,-9478,181517,-9803,1695.39,43,652,-609,-9098,-4554,116645,4544,-9803,7661,0,-12215,-12215,-716.61,24251,,,,,,,,
ARL,TTM,50245,28017,22228,29317,-7089,13464,-597,5778,1256,3783,3783,0.24,0.24,16152.04,16152.04,-7089,57334,3783,5435.12,21181,7717,13464,13495,27237,27928,13742,3783,29348,0,-2111,-2111,-458.88,,,,,,,,,
ARLO,TTM,524407,334408,189999,219321,-29322,5480,-16,-23858,1093,-24951,-24951,-0.25,-0.25,97151.25,97151.25,-29322,553729,-24951,-24951,5480,,5480,-29322,-26075,334408,3247,-24951,-26075,0,,,,,,,,,,,,
ARMK,TTM,19954685,18025138,1929547,988460,941087,-395212,-198600,597706,123301,345543,345543,1.32,1.31,262401,264934,941087,19013598,345543,433727.24,,396889,-395212,994595,1556668,18025138,562073,474866,1504837,0,51831,51831,10692.24,,,,,,,,,
ARMN,TTM,466257,327515,138742,36488,102254,-16668,-23252,62334,49475,12859,12859,0.08,0.08,140890.9600,140890.9600,103563,364003,12859,34216.1000,10189,26809,-16668,89143,89143,327515,33053,12859,114269,0.0002,-25126,-25126,-3768.9000,,,,,,,,,
ARMP,TTM,,,,42057,-42057,-6776,-18210,-67043,,-67043,-77415,-1.85,-1.86,36117.1670,47163.2200,-42057,42057,-67043,-63180,388,7164,-6776,-59879,-58733,,1146,-67043,-54870,,-3863,-3863,,,,,,,,,,
AROC,TTM,1051974,622970,429004,124393,304611,-111470,-7056,186085,47268,136831,136608,0.89,0.89,154180,154505,,747363,138817,144612.57,,111470,-111470,297555,472590,622970,175035,138817,480359,0,-7769,-7769,-1973.43,,,,,,,,,
AROW,TTM,135821,,,,,,,39551,7821,31730,31730,1.89,1.89,16894,16906.50,,,31730,31730,,,,,,,5930,31730,,0,,,,,,-2271,93997,,102302,8310,,
ARQ,TTM,110023,66384,43639,43061,578,-1439,597,-264,216,-323,-323,0.03,0.03,33747.25,33747.25,732,109445,-480,-601.66,,3285,-1439,3021,12378,66384,9357,-480,12224,0,154,154,32.34,,,,,,,,,
ARQQ,TTM,640,,,63965,-63325,-243,-10481,-74049,-141,-70393,-70393,-0.54,-0.54,131468.89,131468.89,-84444,63965,-70393,-63446.96,41,284,-243,-73765,-71131,,2634,-73908,-60650,0,-10481,-10481,-19.96,,,,,,,,,
ARQT,TTM,138708,14469,124239,306173,-181934,-29379,16127,-195186,349,-195535,-195535,-1.67,-1.67,112929.73,116998.83,-181934,320642,-195535,-195535,,29379,-29379,-165807,-163281,14469,2526,-195535,-163281,0,,,,,,,,,,,,
ARRY,TTM,982190,678603,303587,195565,108022,-19784,-166410,-78172,15977,-148813,-148813,-0.97,-0.98,151561.50,151728,-54439,874168,-94149,35300.40,14891,34675,-19784,-43497,10026,662031,53523,-94149,173886,0,-163860,-163860,-34410.60,,,,,,,,,
ARTL,TTM,,,,10955,-10955,2,517,-10438,,-10438,-10438,-3.35,-3.35,3138.5000,3138.5000,-10955,10955,-10438,-10955,2,,2,-10314,-10314,,,-10438,-10831,,517,517,,,,,,,,,,
ARTNA,TTM,103075,51925,51150,19987,31163,-8740,2933,25356,7069,18287,18287,1.78,1.78,10287,10290,24094,71912,18287,17126.57,,8740,-8740,34096,47881,51925,13785,18287,46272,0,1609,1609,448.57,,,,,,,,,
ARTV,TTM,33743,,,61097,-27354,2742,2940,-21672,,-21744,-21744,-0.93,-0.93,23281.56,23281.56,-31841,61097,-21744,-25071,2742,,2742,-27354,-25014,,2340,-21744,-28341,,3327,3327,,,,,,,,,,
ARTW,TTM,25181.6390,18188.4500,6993.1890,6964.2370,28.9520,-641.9870,-6.9530,-619.9880,-35.1910,-832.4280,-832.4280,-0.16,-0.16,5042.6680,5042.6680,28.9520,25152.6870,-832.4280,-584.7970,,641.9870,-641.9870,21.9990,891.4660,18188.4500,869.4670,-584.7970,891.4660,0.0001,,,,,,,,,,,,
ARVN,TTM,161100,,,518400,-357300,54100,-2800,-306000,2600,-308600,-308600,-4.79,-4.79,69225,69225,-357300,518400,-308600,-308600,54100,,54100,-357300,-350600,,6700,-308600,-350600,0,,,,,,,,,,,,
ARW,TTM,28489604,25010956,3478648,2431151,1047497,-291494,-145359,610644,120819,487403,487403,9.08,8.98,53700.25,54248,890133,27442107,487403,607167.25,,291494,-291494,902138,1068662,25010956,166524,487403,1217967,0,-149305,-149305,-29540.75,,,,,,,,,
ARWR,TTM,19648,,,566855,-547207,-3532,2087,-548652,-1288,-538636,-538636,-4.65,-4.65,115497.25,115497.25,-547207,566855,-538636,-538636,19435,22967,-3532,-525685,-508256,,17429,-538636,-508256,0,,,,,,,,,,,,
AS,TTM,4638000,2183600,2454500,2192900,261600,-340000,-19000,-97000,28600,-129200,-129200,-0.26,-0.26,505249.61,505249.61,265100,4376500,-129200,-114190,12600,344500,-340000,247500,247500,2183600,,-129200,266500,0,-19000,-19000,-3990,,,,,,,,,
ASAN,TTM,689298,71236,618062,892397,-274335,18384,-385,-256336,3723,-260059,-260059,-1.15,-1.15,225756,225756,-274335,963633,-260059,-260297.58,22298,3914,18384,-252422,-236661,71236,15761,-260059,-236963,0,302,302,63.42,,,,,,,,,
ASB,TTM,1089609,,,,,,,174202,-19751,182545,182545,1.21,1.20,150016,151064.75,,,193954,195172.97,,,,,,,99623,193954,,0,-1543,-1543,-324.03,,,-89007,826404,,941355,,,
ASC,TTM,422624,233658,188966,38750,150216,-6457,9898,153657,291,149671,149671,3.60,3.55,41573.49,42087.32,,272408,153080,139608.56,3517,8737,-6457,162394,191942,233658,29548,153080,178445,0,13497,13497,25.56,10837,,,,,,,-286,
ASGN,TTM,4188800,2986200,1202600,889000,313600,-66100,,247500,64400,183100,183100,4.01,3.96,45750,46225,313600,3875200,183100,183100,,66100,-66100,313600,411700,2950200,98100,183100,411700,0,,,,,,,,,,,,
ASH,TTM,2108000,1536000,572000,546000,26000,-56000,-56000,-86000,-258000,149000,149000,3.00,2.97,50750,51750,-67000,2082000,149000,217820,11000,61000,-56000,-25000,258000,1335000,283000,172000,316000,0,-58000,-58000,-12180,,,,,,,,,
ASIX,TTM,1570703,1410527,160176,97117,63059,-11326,-1568,50165,11450,38715,38715,0.34,0.34,26957.84,27459.16,,1507644,38715,38715,,11326,-11326,61491,137361,1410527,75870,38715,137361,0,,,,,,,,,,,,
ASLE,TTM,344747,246140,98607,94851,3756,-5254,4181,2683,2266,417,-849,0.01,-0.02,52659.54,52839.90,3756,340991,417,-2438.06,,,-5254,3756,17759,246140,14003,417,14145,0,3614,3614,758.94,,-1266,,,,,,,
ASM,TTM,52026,40065,11961,8249,3712,-105,-86,3521,1922,1599,1599,0.00,0.00,127735.4140,132496.5800,,48314,1599,1672.1000,339,363,-105,3884,7076,37013,3192,1599,7162,0.0002,-86,-86,-12.9000,,,,,,,,,
ASMB,TTM,21481,,,72012,-50531,5359,5,-45172,439,-45611,-45611,-8.69,-8.69,5207.26,5207.26,-50531,72012,-45611,-45611,5359,,5359,-50531,-50267,,264,-45611,-50267,0,,,,,,,,,,,,
ASNS,TTM,6019,3276,2743,8330,-5587,-1246,,-4862,,-4862,-4862,-1.40,-1.40,3396.3400,3396.3400,-5587,11606,-4862,-6833,-264,759,-1246,-4103,-4081,3276,22,-4862,-6052,,1971,1971,,,,,,,,,,
ASO,TTM,6105805,4011636,2094169,1461004,633165,-42065,34302,625402,138204,487198,487198,6.61,6.44,73603,75427,633165,5472640,487198,488735.78,,42065,-42065,667467,784153,4011636,116686,487198,786127,0,-1974,-1974,-436.22,,,,,,,,,
ASPI,TTM,2295.68,1456.82,838.86,22080.76,-21241.90,-138.12,-2898.96,-24278.97,-39.98,-27045.48,-27045.48,-0.62,-0.62,41723.64,41723.64,-21241.90,23537.58,-24265.82,-24314.23,63.30,201.41,-138.12,-24077.56,-23790.58,1456.82,286.98,-24265.82,-23839.07,0,48.49,48.49,0.08,,,,,,,,,
